property_code,title,price,description,image_filename,image_path,image_url
LC90692,ให้เช่าคอนโดหรูในทองหล่อ I THE ESSE SUKHUMVIT 36,"ราคาเช่า: ฿ 190,000 / เดือน","★ THE ESSE SUKHUMVIT 36 ★

ความเงียบสงบและความหรูหราของที่พักอาศัยแห่งนี้แตกต่างจากชีวิตในเมืองที่คึกคักภายนอก ที่นี่เป็นเสมือนที่หลบหนีจากชีวิตในเมืองที่วุ่นวายและมาพักผ่อนที่ที่คุณจะได้เป็นตัวของตัวเองอย่างแท้จริง

-----------------------------------------------

ราคาเช่า: 190,000 บาท/เดือน

-----------------------------------------------

ข้อมูลเพิ่มเติม
- 3 ห้องนอน
- 3 ห้องน้ำ
- ชั้น 37
- 124 ตร.ม. - เฟอร์นิเจอร์ครบชุด

---------------------------------------------------------

สถานที่ใกล้เคียง
- BTS ทองหล่อ
- เจ อเวนิว
- โรงเรียนนานาชาติทรินิตี้
- โรงพยาบาลสมิติเวช สุขุมวิท

---------------------------------------------------------

สิ่งอำนวยความสะดวก
- รปภ. 24 ชม.
- สระว่ายน้ำ
- ห้องออกกำลังกาย

---------------------------------------------------------

For more information and viewing please contact (TH/EN)

Andre 🤵🏻
แสดงเบอร์โทรศัพท์


Misa 🤵🏻‍♀️
แสดงเบอร์โทรศัพท์


Email: สอบถามรายละเอียด


-----------------------------------------------
#Bangkok #Thailand #Rental #Thonglor #ForRent #Rent #BestDeal #TheEsse #Sukhumvit36",LC90692_01.jpg,images\LC90692\LC90692_01.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAxOTM3MzFhLWQ0NGMtNzY2ZS1hNTVmLTk1ZDFkZjliNzIzZC8wMTk1NDU4Zi01NmI2LTcxNmMtOWQwOS1iMmY1NWVkYzQyMjYuanBnIiwiYnJhbmQiOiJkb3Rwcm9wZXJ0eSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjo0OTAsImhlaWdodCI6MzI1LCJmaXQiOiJjb3ZlciJ9fX0=
LC90692,ให้เช่าคอนโดหรูในทองหล่อ I THE ESSE SUKHUMVIT 36,"ราคาเช่า: ฿ 190,000 / เดือน","★ THE ESSE SUKHUMVIT 36 ★

ความเงียบสงบและความหรูหราของที่พักอาศัยแห่งนี้แตกต่างจากชีวิตในเมืองที่คึกคักภายนอก ที่นี่เป็นเสมือนที่หลบหนีจากชีวิตในเมืองที่วุ่นวายและมาพักผ่อนที่ที่คุณจะได้เป็นตัวของตัวเองอย่างแท้จริง

-----------------------------------------------

ราคาเช่า: 190,000 บาท/เดือน

-----------------------------------------------

ข้อมูลเพิ่มเติม
- 3 ห้องนอน
- 3 ห้องน้ำ
- ชั้น 37
- 124 ตร.ม. - เฟอร์นิเจอร์ครบชุด

---------------------------------------------------------

สถานที่ใกล้เคียง
- BTS ทองหล่อ
- เจ อเวนิว
- โรงเรียนนานาชาติทรินิตี้
- โรงพยาบาลสมิติเวช สุขุมวิท

---------------------------------------------------------

สิ่งอำนวยความสะดวก
- รปภ. 24 ชม.
- สระว่ายน้ำ
- ห้องออกกำลังกาย

---------------------------------------------------------

For more information and viewing please contact (TH/EN)

Andre 🤵🏻
แสดงเบอร์โทรศัพท์


Misa 🤵🏻‍♀️
แสดงเบอร์โทรศัพท์


Email: สอบถามรายละเอียด


-----------------------------------------------
#Bangkok #Thailand #Rental #Thonglor #ForRent #Rent #BestDeal #TheEsse #Sukhumvit36",LC90692_02.jpg,images\LC90692\LC90692_02.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAxOTM3MzFhLWQ0NGMtNzY2ZS1hNTVmLTk1ZDFkZjliNzIzZC8wMTk1NDU4Zi01N2M5LTczMWQtOGM2MS1kZDJlYTZkMjQzNjkuanBnIiwiYnJhbmQiOiJkb3Rwcm9wZXJ0eSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjoyNzUsImhlaWdodCI6MTU1LCJmaXQiOiJjb3ZlciJ9fX0=
LC90692,ให้เช่าคอนโดหรูในทองหล่อ I THE ESSE SUKHUMVIT 36,"ราคาเช่า: ฿ 190,000 / เดือน","★ THE ESSE SUKHUMVIT 36 ★

ความเงียบสงบและความหรูหราของที่พักอาศัยแห่งนี้แตกต่างจากชีวิตในเมืองที่คึกคักภายนอก ที่นี่เป็นเสมือนที่หลบหนีจากชีวิตในเมืองที่วุ่นวายและมาพักผ่อนที่ที่คุณจะได้เป็นตัวของตัวเองอย่างแท้จริง

-----------------------------------------------

ราคาเช่า: 190,000 บาท/เดือน

-----------------------------------------------

ข้อมูลเพิ่มเติม
- 3 ห้องนอน
- 3 ห้องน้ำ
- ชั้น 37
- 124 ตร.ม. - เฟอร์นิเจอร์ครบชุด

---------------------------------------------------------

สถานที่ใกล้เคียง
- BTS ทองหล่อ
- เจ อเวนิว
- โรงเรียนนานาชาติทรินิตี้
- โรงพยาบาลสมิติเวช สุขุมวิท

---------------------------------------------------------

สิ่งอำนวยความสะดวก
- รปภ. 24 ชม.
- สระว่ายน้ำ
- ห้องออกกำลังกาย

---------------------------------------------------------

For more information and viewing please contact (TH/EN)

Andre 🤵🏻
แสดงเบอร์โทรศัพท์


Misa 🤵🏻‍♀️
แสดงเบอร์โทรศัพท์


Email: สอบถามรายละเอียด


-----------------------------------------------
#Bangkok #Thailand #Rental #Thonglor #ForRent #Rent #BestDeal #TheEsse #Sukhumvit36",LC90692_03.jpg,images\LC90692\LC90692_03.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAxOTM3MzFhLWQ0NGMtNzY2ZS1hNTVmLTk1ZDFkZjliNzIzZC8wMTk1NDU4Zi01ODA4LTczYjUtYjhkOC1hZTgzMWQ4NzUyYzUuanBnIiwiYnJhbmQiOiJkb3Rwcm9wZXJ0eSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjoyNzUsImhlaWdodCI6MTU1LCJmaXQiOiJjb3ZlciJ9fX0=
LC90692,ให้เช่าคอนโดหรูในทองหล่อ I THE ESSE SUKHUMVIT 36,"ราคาเช่า: ฿ 190,000 / เดือน","★ THE ESSE SUKHUMVIT 36 ★

ความเงียบสงบและความหรูหราของที่พักอาศัยแห่งนี้แตกต่างจากชีวิตในเมืองที่คึกคักภายนอก ที่นี่เป็นเสมือนที่หลบหนีจากชีวิตในเมืองที่วุ่นวายและมาพักผ่อนที่ที่คุณจะได้เป็นตัวของตัวเองอย่างแท้จริง

-----------------------------------------------

ราคาเช่า: 190,000 บาท/เดือน

-----------------------------------------------

ข้อมูลเพิ่มเติม
- 3 ห้องนอน
- 3 ห้องน้ำ
- ชั้น 37
- 124 ตร.ม. - เฟอร์นิเจอร์ครบชุด

---------------------------------------------------------

สถานที่ใกล้เคียง
- BTS ทองหล่อ
- เจ อเวนิว
- โรงเรียนนานาชาติทรินิตี้
- โรงพยาบาลสมิติเวช สุขุมวิท

---------------------------------------------------------

สิ่งอำนวยความสะดวก
- รปภ. 24 ชม.
- สระว่ายน้ำ
- ห้องออกกำลังกาย

---------------------------------------------------------

For more information and viewing please contact (TH/EN)

Andre 🤵🏻
แสดงเบอร์โทรศัพท์


Misa 🤵🏻‍♀️
แสดงเบอร์โทรศัพท์


Email: สอบถามรายละเอียด


-----------------------------------------------
#Bangkok #Thailand #Rental #Thonglor #ForRent #Rent #BestDeal #TheEsse #Sukhumvit36",LC90692_04.jpg,images\LC90692\LC90692_04.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJmbG9vci1wbGFucy8wMTkzNzMxYS1kNDRjLTc2NmUtYTU1Zi05NWQxZGY5YjcyM2QvMDE5NTQ1OGYtNWFmZC03MGFlLWE5NTYtYjMzMzE1OGQxYjI4LmpwZyIsImJyYW5kIjoiZG90cHJvcGVydHkiLCJlZGl0cyI6eyJyb3RhdGUiOm51bGwsInJlc2l6ZSI6eyJ3aWR0aCI6NzgwLCJoZWlnaHQiOjUyMCwiZml0IjoiY292ZXIifX19
LC90246,ปล่อยเช่าเพนท์เฮาท์หรู แถวสุขุมวิท 36,"ราคาเช่า: ฿ 550,000 / เดือน","★ THE ESSE SUKHUMVIT 36 ★

The peaceful and luxurious exclusivity of the residence is a contrast to the vibrant city life on the outside. It's an escape from the busy urban life into a place that offers respite for your soul, where you can truly be who you are.

-----------------------------------------------

More information
- Rent 550,0000 thb per month
- 2 bedrooms
- 3 bathrooms
- Floor 39-40
- 278.92 sq.m.
- Fully furnished

-----------------------------------------------

Nearby places
- BTS ThongLor
- J Avenue
- Trinity International School
- Samitivej Sukhumvit Hospital

-----------------------------------------------

Facilities
- 24-hours security
- Swimming pool
- Gym

-----------------------------------------------

For more information and viewing please contact (TH/EN)

Andre 🤵🏻
แสดงเบอร์โทรศัพท์


Misa 🤵🏻‍♀️
แสดงเบอร์โทรศัพท์


Email: สอบถามรายละเอียด",LC90246_01.jpg,images\LC90246\LC90246_01.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAxOTM4MmFhLTYzYTAtNzg4NC04ZTM5LTkxZTFmYjgwZDlkMS8wMTkzODJhYi04NGUxLTcxZTQtOTEyMC05YmFjNWM5NzE3NGIuanBnIiwiYnJhbmQiOiJkb3Rwcm9wZXJ0eSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjo0OTAsImhlaWdodCI6MzI1LCJmaXQiOiJjb3ZlciJ9fX0=
LC90246,ปล่อยเช่าเพนท์เฮาท์หรู แถวสุขุมวิท 36,"ราคาเช่า: ฿ 550,000 / เดือน","★ THE ESSE SUKHUMVIT 36 ★

The peaceful and luxurious exclusivity of the residence is a contrast to the vibrant city life on the outside. It's an escape from the busy urban life into a place that offers respite for your soul, where you can truly be who you are.

-----------------------------------------------

More information
- Rent 550,0000 thb per month
- 2 bedrooms
- 3 bathrooms
- Floor 39-40
- 278.92 sq.m.
- Fully furnished

-----------------------------------------------

Nearby places
- BTS ThongLor
- J Avenue
- Trinity International School
- Samitivej Sukhumvit Hospital

-----------------------------------------------

Facilities
- 24-hours security
- Swimming pool
- Gym

-----------------------------------------------

For more information and viewing please contact (TH/EN)

Andre 🤵🏻
แสดงเบอร์โทรศัพท์


Misa 🤵🏻‍♀️
แสดงเบอร์โทรศัพท์


Email: สอบถามรายละเอียด",LC90246_02.jpg,images\LC90246\LC90246_02.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAxOTM4MmFhLTYzYTAtNzg4NC04ZTM5LTkxZTFmYjgwZDlkMS8wMTkzODJhYi04NTk5LTczMzQtODY2NS1jMDhlOTlkOWZjZGQuanBnIiwiYnJhbmQiOiJkb3Rwcm9wZXJ0eSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjoyNzUsImhlaWdodCI6MTU1LCJmaXQiOiJjb3ZlciJ9fX0=
LC90246,ปล่อยเช่าเพนท์เฮาท์หรู แถวสุขุมวิท 36,"ราคาเช่า: ฿ 550,000 / เดือน","★ THE ESSE SUKHUMVIT 36 ★

The peaceful and luxurious exclusivity of the residence is a contrast to the vibrant city life on the outside. It's an escape from the busy urban life into a place that offers respite for your soul, where you can truly be who you are.

-----------------------------------------------

More information
- Rent 550,0000 thb per month
- 2 bedrooms
- 3 bathrooms
- Floor 39-40
- 278.92 sq.m.
- Fully furnished

-----------------------------------------------

Nearby places
- BTS ThongLor
- J Avenue
- Trinity International School
- Samitivej Sukhumvit Hospital

-----------------------------------------------

Facilities
- 24-hours security
- Swimming pool
- Gym

-----------------------------------------------

For more information and viewing please contact (TH/EN)

Andre 🤵🏻
แสดงเบอร์โทรศัพท์


Misa 🤵🏻‍♀️
แสดงเบอร์โทรศัพท์


Email: สอบถามรายละเอียด",LC90246_03.jpg,images\LC90246\LC90246_03.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAxOTM4MmFhLTYzYTAtNzg4NC04ZTM5LTkxZTFmYjgwZDlkMS8wMTkzODJhYi04NWQzLTcyZDYtOWIxZS1hOWVjZTY4YzVkMzUuanBnIiwiYnJhbmQiOiJkb3Rwcm9wZXJ0eSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjoyNzUsImhlaWdodCI6MTU1LCJmaXQiOiJjb3ZlciJ9fX0=
AP-03237,ขายหรือให้เช่าคอนโด รอยซ์ ไพรเวท เรสซิเดนซ์ 4 ห้องนอน ใกล้ BTS อโศก,"ราคาขาย: ฿ 69,000,000
ราคาเช่า: ฿ 230,000 / เดือน","ขายคอนโด ขนาด 355 ตารางเมตร, ซึ่งประกอบด้วย 4 ห้องนอน และ 4 ห้องน้ำ ตั้งอยู่ใน คลองเตยเหนือ, วัฒนา.

สาธารณูปโภค ประกอบด้วย: สระว่ายน้ำ, เครื่องปรับอากาศ, ยิม, รปภ. 24 ชม., ที่จอดรถ, สวน, ระเบียง, ห้องอบซาวน่า, พื้นที่สำหรับเด็ก, มุมมองแบบพาโนรามา, ลิฟต์, ตู้เสื้อผ้าบิวท์อิน, รองรับผู้พิการ, ครัวบิวท์อิน และ ห้องทำงาน.
หมายเลขโทรศัพท์: แสดงเบอร์โทรศัพท์",AP-03237_01.jpg,images\AP-03237\AP-03237_01.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAxOTEwYjczLWI1MjUtNzIyZC05ODA4LTFlZjI4NGZmYzk1Ny8wMTkxMTY3Zi1mNWMzLTcwZDUtYWQwZC05OGQ1MTIzZWQ3MzYuanBnIiwiYnJhbmQiOiJkb3Rwcm9wZXJ0eSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjo0OTAsImhlaWdodCI6MzI1LCJmaXQiOiJjb3ZlciJ9fX0=
AP-03237,ขายหรือให้เช่าคอนโด รอยซ์ ไพรเวท เรสซิเดนซ์ 4 ห้องนอน ใกล้ BTS อโศก,"ราคาขาย: ฿ 69,000,000
ราคาเช่า: ฿ 230,000 / เดือน","ขายคอนโด ขนาด 355 ตารางเมตร, ซึ่งประกอบด้วย 4 ห้องนอน และ 4 ห้องน้ำ ตั้งอยู่ใน คลองเตยเหนือ, วัฒนา.

สาธารณูปโภค ประกอบด้วย: สระว่ายน้ำ, เครื่องปรับอากาศ, ยิม, รปภ. 24 ชม., ที่จอดรถ, สวน, ระเบียง, ห้องอบซาวน่า, พื้นที่สำหรับเด็ก, มุมมองแบบพาโนรามา, ลิฟต์, ตู้เสื้อผ้าบิวท์อิน, รองรับผู้พิการ, ครัวบิวท์อิน และ ห้องทำงาน.
หมายเลขโทรศัพท์: แสดงเบอร์โทรศัพท์",AP-03237_02.jpg,images\AP-03237\AP-03237_02.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAxOTEwYjczLWI1MjUtNzIyZC05ODA4LTFlZjI4NGZmYzk1Ny8wMTkxMTY3Zi1mNjA1LTcyNGItODhkNC1kOTRjYzJiNTAwODQuanBnIiwiYnJhbmQiOiJkb3Rwcm9wZXJ0eSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjoyNzUsImhlaWdodCI6MTU1LCJmaXQiOiJjb3ZlciJ9fX0=
AP-03237,ขายหรือให้เช่าคอนโด รอยซ์ ไพรเวท เรสซิเดนซ์ 4 ห้องนอน ใกล้ BTS อโศก,"ราคาขาย: ฿ 69,000,000
ราคาเช่า: ฿ 230,000 / เดือน","ขายคอนโด ขนาด 355 ตารางเมตร, ซึ่งประกอบด้วย 4 ห้องนอน และ 4 ห้องน้ำ ตั้งอยู่ใน คลองเตยเหนือ, วัฒนา.

สาธารณูปโภค ประกอบด้วย: สระว่ายน้ำ, เครื่องปรับอากาศ, ยิม, รปภ. 24 ชม., ที่จอดรถ, สวน, ระเบียง, ห้องอบซาวน่า, พื้นที่สำหรับเด็ก, มุมมองแบบพาโนรามา, ลิฟต์, ตู้เสื้อผ้าบิวท์อิน, รองรับผู้พิการ, ครัวบิวท์อิน และ ห้องทำงาน.
หมายเลขโทรศัพท์: แสดงเบอร์โทรศัพท์",AP-03237_03.jpg,images\AP-03237\AP-03237_03.jpg,https://pix.dotproperty.co.th/eyJidWNrZXQiOiJwcmQtbGlmdWxsY29ubmVjdC1iYWNrZW5kLWIyYi1pbWFnZXMiLCJrZXkiOiJwcm9wZXJ0aWVzLzAxOTEwYjczLWI1MjUtNzIyZC05ODA4LTFlZjI4NGZmYzk1Ny8wMTkxMTY3Zi1mNGVhLTcxZjItODUwZS0zOTFhYjBiM2FjODAuanBnIiwiYnJhbmQiOiJkb3Rwcm9wZXJ0eSIsImVkaXRzIjp7InJvdGF0ZSI6bnVsbCwicmVzaXplIjp7IndpZHRoIjoyNzUsImhlaWdodCI6MTU1LCJmaXQiOiJjb3ZlciJ9fX0=
